element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
C,2,1,5.000000000000e+00,9.448630623129e+00,1.356545387772e+00,5.221989912650e-01
C,2,1,6.000000000000e+00,1.133835674775e+01,1.354375141646e+00,5.213635600674e-01
C,2,1,7.000000000000e+00,1.322808287238e+01,1.120310886192e+00,4.312610694386e-01
C,3,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
C,3,1,1.000000000000e-01,1.889726124626e-01,1.216662964288e-01,4.683515777562e-02
C,3,1,5.000000000000e-01,9.448630623129e-01,6.014721210440e-01,2.315352937797e-01
C,3,1,1.000000000000e+00,1.889726124626e+00,1.160505684484e+00,4.467339635354e-01
C,3,1,2.000000000000e+00,3.779452249252e+00,1.995376939577e+00,7.681157110061e-01
C,3,1,3.000000000000e+00,5.669178373877e+00,2.259387261146e+00,8.697458701218e-01
C,3,1,4.000000000000e+00,7.558904498503e+00,1.881378204312e+00,7.242321630634e-01
C,3,1,5.000000000000e+00,9.448630623129e+00,1.028521438026e+00,3.959269348989e-01
C,3,1,6.000000000000e+00,1.133835674775e+01,6.547920200431e-02,2.520606648602e-02
C,3,1,7.000000000000e+00,1.322808287238e+01,-6.134202250779e-01,-2.361346886324e-01
Al,0,0,0.000000000000e+00,0.000000000000e+00,6.558067487426e+00,2.524512823125e+00
Al,0,0,1.000000000000e-01,1.889726124626e-01,6.555934753395e+00,2.523691832122e+00
Al,0,0,5.000000000000e-01,9.448630623129e-01,6.501886211814e+00,2.502885971774e+00
Al,0,0,1.000000000000e+00,1.889726124626e+00,6.300565098348e+00,2.425387877483e+00
Al,0,0,2.000000000000e+00,3.779452249252e+00,5.160154612553e+00,1.986389513935e+00
Al,0,0,3.000000000000e+00,5.669178373877e+00,2.917649182824e+00,1.123142265545e+00
Al,0,0,4.000000000000e+00,7.558904498503e+00,5.453691106925e-01,2.099385704584e-01
Al,0,0,5.000000000000e+00,9.448630623129e+00,-6.116496133105e-01,-2.354530957516e-01
Al,0,0,6.000000000000e+00,1.133835674775e+01,-4.215620593226e-01,-1.622793340483e-01
Al,0,0,7.000000000000e+00,1.322808287238e+01,7.149389602360e-02,2.752140895665e-02
Al,1,0,0.000000000000e+00,0.000000000000e+00,1.372793399539e+01,5.284536255968e+00
Al,1,0,1.000000000000e-01,1.889726124626e-01,1.368400867613e+01,5.267627306503e+00
Al,1,0,5.000000000000e-01,9.448630623129e-01,1.265653642583e+01,4.872104253979e+00
Al,1,0,1.000000000000e+00,1.889726124626e+00,9.759986496717e+00,3.757084097066e+00
Al,1,0,2.000000000000e+00,3.779452249252e+00,2.051328006327e+00,7.896539439917e-01
Al,1,0,3.000000000000e+00,5.669178373877e+00,-2.220726561625e+00,-8.548635237785e-01
Al,1,0,4.000000000000e+00,7.558904498503e+00,-1.361699862019e+00,-5.241831941356e-01
Al,1,0,5.000000000000e+00,9.448630623129e+00,6.652223638171e-01,2.560758014318e-01
Al,1,0,6.000000000000e+00,1.133835674775e+01,7.715517439557e-01,2.970070489600e-01
Al,1,0,7.000000000000e+00,1.322808287238e+01,-1.418418410917e-01,-5.460168675884e-02
Al,2,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Al,2,1,1.000000000000e-01,1.889726124626e-01,-3.784129647601e-03,-1.456691904750e-03
Al,2,1,5.000000000000e-01,9.448630623129e-01,2.220211041308e-02,8.546650754316e-03
