system,i1,i2,i3,rho_e_per_ang3
fe_bcc,21,22,3,6.0193271049e+00
fe_bcc,22,1,0,2.0583301849e+01
fe_bcc,22,3,21,6.0193271049e+00
fe_bcc,22,6,18,3.8117680386e-01
fe_bcc,22,9,15,2.3195342273e-01
fe_bcc,22,12,12,2.3819614496e-01
fe_bcc,22,15,9,2.3195342273e-01
fe_bcc,22,18,6,3.8117680386e-01
fe_bcc,22,21,3,6.0193271049e+00
fe_bcc,23,0,0,1.0004426864e+01
fe_bcc,23,2,21,1.3440566420e+01
fe_bcc,23,5,18,5.2399983362e-01
fe_bcc,23,8,15,2.3305304243e-01
fe_bcc,23,11,12,2.3023600332e-01
fe_bcc,23,14,9,2.2684033929e-01
fe_bcc,23,17,6,3.2691795915e-01
fe_bcc,23,20,3,4.0423673010e+00
fe_bcc,23,23,0,1.1307031352e+01
cu_fcc,0,0,0,1.0967087311e+01
cu_fcc,0,2,21,2.9419097545e+01
cu_fcc,0,5,18,4.9463388109e+00
cu_fcc,0,8,15,5.3530707830e-01
cu_fcc,0,11,12,2.3351151827e-01
cu_fcc,0,14,9,3.5580948356e-01
cu_fcc,0,17,6,1.9629689456e+00
cu_fcc,0,20,3,2.2816326676e+01
cu_fcc,0,23,0,1.7189590933e+01
cu_fcc,1,1,21,2.9436296677e+01
cu_fcc,1,4,18,7.0466450938e+00
cu_fcc,1,7,15,6.6146583269e-01
cu_fcc,1,10,12,2.4280678877e-01
cu_fcc,1,13,9,2.9837073222e-01
cu_fcc,1,16,6,1.2284365061e+00
cu_fcc,1,19,3,1.5642072984e+01
cu_fcc,1,22,0,2.5254491874e+01
